2018-09-20 13:23:47.9556 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 13:27:52.3345 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 13:32:56.6919 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 13:35:24.7494 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 13:41:44.4951 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 13:43:28.4401 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 14:35:16.8109 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 14:36:41.4507 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 14:38:59.9366 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 14:40:15.0289 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 14:41:06.9659 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 14:51:53.2389 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 14:52:37.7844 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:02:50.6505 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:06:25.6348 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:07:21.8650 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:10:09.6076 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:11:46.1551 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:13:35.6033 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:14:33.1926 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:16:01.1027 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:17:13.0238 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:23:59.9101 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:30:23.9720 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

2018-09-20 15:45:42.4506 | DEBUG | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' started. 

