2018-09-20 14:38:59.8696 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 14:38:59.8696 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 14:38:59.8886 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 14:38:59.8886 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 14:38:59.8996 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 14:40:14.9679 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 14:40:14.9679 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 14:40:14.9679 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 14:40:14.9839 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 14:40:14.9839 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 14:40:14.9839 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 14:40:15.0009 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 14:41:06.9169 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 14:41:06.9169 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 14:41:06.9169 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 14:41:06.9309 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 14:41:06.9309 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 14:41:06.9309 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 14:41:06.9309 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 14:51:53.1669 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 14:51:53.1669 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 14:51:53.1669 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 14:51:53.1669 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 14:51:53.1839 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 14:51:53.1839 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 14:51:53.1839 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 14:52:37.7324 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 14:52:37.7364 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 14:52:37.7364 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 14:52:37.7364 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 14:52:37.7504 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 14:52:37.7504 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 14:52:37.7504 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:02:50.5885 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:02:50.5885 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 15:02:50.5885 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:02:50.6025 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 15:02:50.6025 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:02:50.6025 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:02:50.6165 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:06:25.5607 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:06:25.5607 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 15:06:25.5717 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:06:25.5717 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 15:06:25.5717 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:06:25.5908 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:06:25.5908 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:07:21.7970 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:07:21.7970 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

