2018-09-20 13:23:48.0696 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 13:27:52.4635 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 13:32:56.8219 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 13:35:24.8794 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 13:41:44.6511 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 13:43:28.5771 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 14:35:16.9359 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 14:36:41.5987 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 14:39:00.1116 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 14:40:15.1409 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 14:41:07.1199 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 14:51:53.3729 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 14:52:37.9154 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:02:50.7995 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:06:25.7998 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:07:21.9740 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:10:09.7386 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:11:46.2481 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:13:35.7584 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:14:33.3086 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:16:01.2287 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:17:13.1808 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:24:00.0901 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:30:24.1160 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

2018-09-20 15:45:42.5756 | DEBUG | Hangfire.MemoryStorage.ExpirationManager | Background process 'Composite C1 Records Expiration Manager' started. 

