2018-11-15 09:35:01.0588 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 10:03:08.5856 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 10:07:55.9792 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 10:33:01.8029 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 12:10:33.9571 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 12:16:43.6071 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 12:50:52.7550 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 12:55:33.9744 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 12:58:44.0527 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 13:02:55.5136 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 13:21:24.2770 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 13:27:32.9064 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 13:32:58.9138 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 13:36:48.4978 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 13:45:49.0349 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 13:49:43.0450 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 13:55:02.1635 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 13:57:22.3653 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 14:01:29.4002 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 14:03:21.3770 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 14:06:34.8317 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 15:47:17.5894 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

2018-11-15 16:32:12.3484 | INFO | Web.Controllers.AccountController | user:admin;IP:172.27.217.241 

