2018-09-21 12:18:18.5082 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8b198489' started. 

2018-09-21 12:18:18.4632 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a0db63ca' started. 

2018-09-21 12:18:18.5192 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d47283a7' started. 

2018-09-21 12:18:18.5472 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9a06114e' started. 

2018-09-21 12:28:02.4668 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #73635ec3' started. 

2018-09-21 12:28:02.5008 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c02b4c95' started. 

2018-09-21 12:28:02.5158 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9ecc6a75' started. 

2018-09-21 12:28:02.4668 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3abd6380' started. 

2018-09-21 12:28:02.5298 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7f93b7d6' started. 

2018-09-21 12:28:02.5598 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c3ca5d8a' started. 

2018-09-21 12:28:02.5298 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fc299cdf' started. 

2018-09-21 12:28:02.5298 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #060423a1' started. 

2018-09-21 12:28:02.5758 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #1ce8d5c3' started. 

2018-09-21 12:28:02.5758 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a6da5b85' started. 

2018-09-21 12:28:02.6078 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ab8a706b' started. 

2018-09-21 12:28:02.6418 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #be722d44' started. 

2018-09-21 12:28:02.6618 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #31a88567' started. 

2018-09-21 12:28:02.6618 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #06737f65' started. 

2018-09-21 12:28:02.6888 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fec2846a' started. 

2018-09-21 12:28:02.7008 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d880c037' started. 

2018-09-21 12:28:02.7008 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #0229b5ff' started. 

2018-09-21 12:28:02.7348 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f74ca911' started. 

2018-09-21 12:28:02.7348 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #966b4119' started. 

2018-09-21 12:28:02.7528 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7e79b410' started. 

2018-09-21 12:32:52.8444 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a49e39c9' started. 

2018-09-21 12:32:52.8674 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #4715a45a' started. 

2018-09-21 12:32:52.8824 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #396a148e' started. 

2018-09-21 12:32:52.9054 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9fe47204' started. 

2018-09-21 12:32:52.9284 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9b734c91' started. 

2018-09-21 12:32:52.9364 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e9b30c7b' started. 

2018-09-21 12:32:52.9364 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d5bb86c1' started. 

2018-09-21 12:32:52.9564 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d34f0c11' started. 

2018-09-21 12:32:52.9714 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #6a267049' started. 

2018-09-21 12:32:53.0034 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9db6de7a' started. 

2018-09-21 12:32:52.9714 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #0eaa4145' started. 

2018-09-21 12:32:53.0034 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c8a43aba' started. 

2018-09-21 12:32:53.0034 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #92e0308c' started. 

2018-09-21 12:32:53.0364 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #4f97b95f' started. 

2018-09-21 12:32:53.0944 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #269277b7' started. 

2018-09-21 12:32:53.0454 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ad6c1838' started. 

2018-09-21 12:32:53.1175 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fb4ef16c' started. 

2018-09-21 12:32:53.0694 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9a314ad4' started. 

2018-09-21 12:32:53.1485 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a839d507' started. 

2018-09-21 12:32:53.1235 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #92b5604f' started. 

2018-09-21 12:43:06.3222 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f45eb48f' started. 

2018-09-21 12:43:06.3452 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #af0d48f1' started. 

2018-09-21 12:43:06.3532 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9d3af0f6' started. 

2018-09-21 12:43:06.3532 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #bd319c3e' started. 

2018-09-21 12:43:06.3532 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a86704ff' started. 

2018-09-21 12:43:06.3852 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #4480433a' started. 

2018-09-21 12:43:06.4082 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #47062cf5' started. 

2018-09-21 12:43:06.4533 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c2e41fa2' started. 

2018-09-21 12:43:06.4763 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #18b04bf6' started. 

2018-09-21 12:43:06.4763 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #26bd80e0' started. 

2018-09-21 12:43:06.4933 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f1ab854a' started. 

2018-09-21 12:43:06.5053 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #144b28fe' started. 

2018-09-21 12:43:06.5053 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7dbccdc0' started. 

2018-09-21 12:43:06.5053 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ed5e7f83' started. 

